when|seen|X|Y|Z|velocity|days_supply_count|patient_paid_amount|ingredient_cost_paid_amount|male|female|sex_other|ccs_22|ccs_24|ccs_29|ccs_other
11|245|0.17427125906071486|-0.21837229606992717|0.4295886635758229|4.0|49.0|13.0|11298.0|1087|37|0|0|16|1108|0
11|580|0.26341423035960515|-0.08652196737011021|0.42485580764516995|4.0|44.0|18.0|31667.0|2316|70|0|33|37|2316|0
11|102|0.01358545733216351|-0.17184131278694348|0.4777230384146386|9.0|50.0|15.0|4362.0|916|7|0|0|7|916|0
11|440|0.12973343688376415|-0.08786566403627868|0.5089741872454373|10.0|47.0|19.0|28305.0|4365|48|0|21|27|4365|0
12|535|0.06387390790167534|0.11883070237048032|0.49062980620325874|10.0|43.0|22.0|48382.0|5278|134|0|2|134|5276|0
12|1010|0.14670251045100524|-0.13025828886072593|0.4538296497783713|6.0|48.0|18.0|51195.0|6193|104|0|14|53|6230|0
12|882|0.19874875929067523|0.022015057423223114|0.47259578137922625|7.0|45.0|22.0|51125.0|6692|337|0|60|296|6673|0
13|406|0.2668584498296792|-0.08455510850647774|0.4436603772047392|5.0|46.0|22.0|23213.0|1903|140|0|25|85|1933|0
13|819|0.13854271381543892|0.08128749134075608|0.4691989688608112|8.0|44.0|21.0|44498.0|6464|173|0|32|165|6440|0
13|360|0.14149410943525936|-0.18291867936947415|0.4308889579176448|4.0|51.0|13.0|13517.0|1717|44|0|12|22|1727|0
13|434|0.05173021426806007|-0.04969248294422297|0.5181979301881329|11.0|48.0|18.0|28617.0|4881|9|0|15|9|4866|0
14|308|0.2705096162302176|-0.02639462632426412|0.4331488528588523|4.0|44.0|21.0|15596.0|1248|27|0|20|11|1244|0
14|706|0.1445395188024163|-0.1279315132935438|0.45623014390837047|6.0|48.0|18.0|38592.0|4279|45|0|25|25|4274|0
14|272|0.01794271301887606|0.013968860406624985|0.5255153205625649|13.0|47.0|18.0|14173.0|3489|57|0|2|58|3486|0
14|306|0.09885823206521091|0.11531383327059944|0.43600116587821214|4.0|44.0|20.0|12941.0|1419|21|0|3|20|1417|0
14|161|0.19649717389995647|0.07050827577414959|0.5533845652092192|13.0|44.0|19.0|9455.0|2035|160|0|0|121|2074|0
15|559|0.15732026609896416|0.047596474182872654|0.4790085248563162|8.0|45.0|21.0|36071.0|4412|133|0|14|109|4422|0
15|266|0.020633863695517576|0.02343365911527056|0.502104738130458|9.0|46.0|20.0|15336.0|2496|27|0|19|28|2476|0
15|349|0.12017143678775627|-0.1622231056621952|0.45372185073968746|5.0|49.0|15.0|16250.0|2016|26|0|17|4|2021|0
15|268|0.266304967692201|-0.10523920444526176|0.4390266835751177|4.0|48.0|22.0|15315.0|1199|64|0|6|35|1222|0
16|231|0.03143587828353747|0.05654825051156985|0.48734851887870645|7.0|47.0|15.0|10684.0|1809|12|0|11|12|1798|0
16|211|0.27046293543684924|-0.1089446849067233|0.4585754384325085|5.0|45.0|20.0|12903.0|1179|56|0|39|38|1158|0
16|555|0.12881936741104832|-0.11404348211686431|0.45060735336164115|5.0|48.0|17.0|30629.0|3174|13|0|10|13|3164|0
16|170|0.1876773315862427|0.07570847117190793|0.5047627735478295|9.0|44.0|20.0|9336.0|1441|103|0|28|86|1430|0
17|176|0.11970078388316864|0.08611256668371213|0.4755548460644788|6.0|44.0|21.0|12208.0|1164|38|0|23|38|1141|0
17|406|0.14990761476961847|-0.1454705121059768|0.43525721769873854|5.0|48.0|17.0|22267.0|2131|18|0|12|10|2127|0
17|157|0.022599183813571167|-0.06393776503960452|0.5132156227709918|9.0|48.0|17.0|8929.0|1430|17|0|6|0|1441|0
17|149|0.2710711299645754|-0.06527277530625064|0.46661253462117647|5.0|46.0|25.0|17648.0|837|30|0|0|22|845|0
18|151|0.25698337113786673|-0.052852529482277796|0.44419831268770177|4.0|45.0|21.0|10684.0|653|14|0|7|0|660|0
18|71|0.14897112260717543|0.008474231767707952|0.5654743372300127|11.0|42.0|37.0|15711.0|820|14|0|0|0|834|0
18|86|0.01636476734439832|-0.001580363457626288|0.5044820143871211|8.0|45.0|17.0|3454.0|705|0|0|11|0|694|0
18|34|0.11633360585645025|0.12552315564390054|0.4370588052431098|4.0|32.0|14.0|1465.0|163|0|0|8|0|155|0
18|347|0.1297230033805199|-0.144785073995193|0.43586158959154914|4.0|48.0|18.0|20315.0|1696|0|0|10|0|1686|0
19|263|0.16232622163046015|-0.1376762754036622|0.4327172292614732|4.0|47.0|22.0|29108.0|1176|14|0|10|0|1180|0
19|66|0.19787372638105366|0.06060728865547547|0.462195355723568|6.0|38.0|18.0|3600.0|399|0|0|12|0|387|0
19|79|0.044010639270619586|3.596896811932599E-4|0.48965828935939815|6.0|42.0|24.0|5612.0|537|0|0|0|0|537|0
20|46|0.15115761142351994|-0.09464277665766066|0.4248116969291393|2.0|39.0|15.0|1823.0|120|0|0|1|0|119|0
21|1|0.18107325690579415|-0.16858544608470488|0.35320862855067836|1.0|90.0|0.0|0.0|1|0|0|1|0|0|0
23|1|0.12250469419033698|-0.12878698620009785|0.6219151794094366|17.0|43.0|10.0|70.0|17|0|0|17|0|0|0
24|1|0.03032392174315613|0.0|0.5628590807898423|10.0|53.0|22.0|236.0|10|0|0|10|0|0|0
